IMAGE_NAME,CLASS_INDEX,WNID
training_00001.jpg,183,n09918554
training_00002.jpg,133,n04118021
training_00003.jpg,108,n03649674
training_00004.jpg,95,n03408444
training_00005.jpg,161,n04555400
training_00006.jpg,179,n09785659
training_00007.jpg,191,n11669786
training_00008.jpg,31,n02780704
training_00009.jpg,159,n04477387
training_00010.jpg,21,n02123242
training_00011.jpg,99,n03513137
training_00012.jpg,64,n03089879
training_00013.jpg,176,n09475925
training_00014.jpg,130,n04086446
training_00015.jpg,169,n07805594
training_00016.jpg,22,n02123917
training_00017.jpg,183,n09918554
training_00018.jpg,49,n02978753
training_00019.jpg,158,n04467307
training_00020.jpg,183,n09918554
training_00021.jpg,79,n03281145
training_00022.jpg,135,n04143897
training_00023.jpg,55,n03057920
training_00024.jpg,92,n03378005
training_00025.jpg,126,n04009801
training_00026.jpg,22,n02123917
training_00027.jpg,88,n03343737
training_00028.jpg,176,n09475925
training_00029.jpg,124,n03918737
training_00030.jpg,147,n04275175
training_00031.jpg,83,n03307037
training_00032.jpg,40,n02886321
training_00033.jpg,109,n03717447
training_00034.jpg,113,n03797896
training_00035.jpg,106,n03636649
training_00036.jpg,158,n04467307
training_00037.jpg,199,n14976759
training_00038.jpg,115,n03842012
training_00039.jpg,22,n02123917
training_00040.jpg,7,n02089232
training_00041.jpg,80,n03294833
training_00042.jpg,133,n04118021
training_00043.jpg,55,n03057920
training_00044.jpg,18,n02113335
training_00045.jpg,187,n10421016
training_00046.jpg,100,n03531281
training_00047.jpg,160,n04490091
training_00048.jpg,186,n10282672
training_00049.jpg,125,n03963198
training_00050.jpg,92,n03378005
training_00051.jpg,163,n04560113
training_00052.jpg,52,n03005285
training_00053.jpg,165,n04589325
training_00054.jpg,164,n04560292
training_00055.jpg,195,n14696793
training_00056.jpg,104,n03626760
training_00057.jpg,95,n03408444
training_00058.jpg,163,n04560113
training_00059.jpg,101,n03544360
training_00060.jpg,67,n03150232
training_00061.jpg,10,n02104882
training_00062.jpg,167,n04603729
training_00063.jpg,167,n04603729
training_00064.jpg,133,n04118021
training_00065.jpg,58,n03063073
training_00066.jpg,192,n11675025
